quote,author,tags,cleaned_quote,cleaned_author
"“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”",Robert A. Heinlein,[],woman cat please men dog relax get used idea,robert heinlein
“Sometimes the questions are complicated and the answers are simple.”,Dr. Seuss,[],sometimes question complicated answer simple,dr seuss
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfectâ€”you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can breakâ€”her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,[],may first last loved may love love else matter shes perfectyou arent either two may never perfect together make laugh cause think twice admit human making mistake hold onto give may thinking every second day give part know breakher heart dont hurt dont change dont analyze dont expect give smile make happy let know make mad miss shes,bob marley
“Never trust anyone who has not brought a book with them.”,"Lemony Snicket,",[],never trust anyone brought book,lemony snicket
"“You love me. Real or not real?""I tell him, ""Real.”","Suzanne Collins,",[],love real reali tell real,suzanne collins
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,[],never get cup tea large enough book long enough suit,c lewis
“We read to know we're not alone.”,"William Nicholson,",[],read know alone,william nicholson
"“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”","John Green,",[],sometimes read book fill weird evangelical zeal become convinced shattered world never put back together unless living human read book,john green
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,[],need love little chocolate doesnt hurt,charles schulz
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”","J.K. Rowling,",[],course happening inside head harry earth mean real,jk rowling
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,[],beauty eye beholder may necessary time time give stupid misinformed beholder black eye,jim henson
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,[],life isnt finding life creating,george bernard shaw
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”","Dr. Seuss,",[],today truer true one alive youer,dr seuss
"“To the well-organized mind, death is but the next great adventure.”","J.K. Rowling,",[],wellorganized mind death next great adventure,jk rowling
“I'm not afraid of death; I just don't want to be there when it happens.”,Woody Allen,[],im afraid death dont want happens,woody allen
"“If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”",Oscar Wilde,[],one enjoy reading book use reading,oscar wilde
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,[],want child intelligent read fairy tale want intelligent read fairy tale,albert einstein
"“Have you fallen in love with the wrong person yet?'Jace said, ""Unfortunately, Lady of the Haven, my one true love remains myself.""...""At least,"" she said, ""you don't have to worry about rejection, Jace Wayland.""""Not necessarily. I turn myself down occasionally, just to keep it interesting.”","Cassandra Clare,",[],fallen love wrong person yetjace said unfortunately lady one true love remains myselfat least said dont worry rejection jace waylandnot necessarily turn occasionally keep interesting,cassandra clare
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,[],logic get z imagination get everywhere,albert einstein
"“I'm in love with you,"" he said quietly.""Augustus,"" I said.""I am,"" he said. He was staring at me, and I could see the corners of his eyes crinkling. ""I'm in love with you, and I'm not in the business of denying myself the simple pleasure of saying true things. I'm in love with you, and I know that love is just a shout into the void, and that oblivion is inevitable, and that we're all doomed and that there will come a day when all our labor has been returned to dust, and I know the sun will swallow the only earth we'll ever have, and I am in love with you.”","John Green,",[],im love said quietlyaugustus saidi said staring could see corner eye crinkling im love im business denying simple pleasure saying true thing im love know love shout void oblivion inevitable doomed come day labor returned dust know sun swallow earth well ever love,john green
"“Whenever I feel the need to exercise, I lie down until it goes away.”",Paul   Terry,[],whenever feel need exercise lie go away,paul terry
"“I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”","Nicholas Sparks,",[],nothing special sure common man common thought ive led common life monument dedicated name soon forgotten ive loved another heart soul always enough,nicholas spark
“Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.”,"Markus Zusak,",[],sometimes people beautifulnot looksnot sayjust,markus zusak
“You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”,"John Green,",[],dont get choose get hurt worldbut say hurt like choice,john green
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,[],truth everyone going hurt got find one worth suffering,bob marley
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”","Dr. Seuss,",[],read thing know learn place youll go,dr seuss
"“Love looks not with the eyes, but with the mind,And therefore is winged Cupid painted blind.”","William Shakespeare,",[],love look eye mindand therefore winged cupid painted blind,william shakespeare
“Folks are usually about as happy as they make their minds up to be.”,Abraham Lincoln,[],folk usually happy make mind,abraham lincoln
"“Do what you can, with what you have, where you are.”",Theodore Roosevelt,[],,theodore roosevelt
“There is no friend as loyal as a book.”,Ernest Hemingway,[],friend loyal book,ernest hemingway
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,[],one good thing music hit feel pain,bob marley
"“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”",Groucho Marx,[],find television educating every time somebody turn set go room read book,groucho marx
“The story so far:In the beginning the Universe was created.This has made a lot of people very angry and been widely regarded as a bad move.”,"Douglas Adams,",[],story farin beginning universe createdthis made lot people angry widely regarded bad move,douglas adam
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,[],u great thing small thing great love,mother teresa
"“Success is not final, failure is not fatal: it is the courage to continue that counts.”",Winston S. Churchill,[],success final failure fatal courage continue count,winston churchill
"“Love is like the wind, you can't see it but you can feel it.”","Nicholas Sparks,",[],love like wind cant see feel,nicholas spark
"“Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”",Shel Silverstein,[],listen mustnts child listen donts listen shouldnts impossible wont listen never have listen close anything happen child anything,shel silverstein
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,[],one door happiness close another open often look long closed door see one opened u,helen keller
"“If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”","Joan Powers,",[],live hundred want live hundred minus one day never live without,joan power
"“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”","Stephen Chbosky,",[],life want know happy sad im still trying figure could,stephen chbosky
